Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
19/10/2016 00:00,635.95,638.04,624.13,627.98,4472.9,2824080.05,631.38
20/10/2016 00:00,627.84,630.22,625,628.89,2040.01,1280448.68,627.67
21/10/2016 00:00,628.05,632.36,627.5,629,3050.51,1919969.05,629.39
22/10/2016 00:00,628.99,656,628.57,654.52,4351.62,2812594.62,646.33
23/10/2016 00:00,654.52,656,647.51,648.74,2535.01,1651700.19,651.56
24/10/2016 00:00,648.71,652.25,640,648.6,4679,3027622.03,647.07
25/10/2016 00:00,649.03,657.58,643,651.97,6106.92,3982507.67,652.13
26/10/2016 00:00,651.97,677,651.69,675.11,6716.23,4466380.41,665.01
27/10/2016 00:00,674.63,685.89,665.59,684.71,4545.44,3090089.93,679.82
28/10/2016 00:00,684.68,687.23,677.05,685.91,3574.08,2446577.64,684.53
29/10/2016 00:00,685.91,717.99,684.89,711.13,4034.88,2839203.57,703.66
30/10/2016 00:00,711.1,711.78,691.49,697.23,3752.53,2630802.8,701.08
31/10/2016 00:00,697.1,706.97,683.6,697.01,4655.89,3246833.13,697.36
01/11/2016 00:00,697.04,737,695.38,726.6,6570.02,4746887.12,722.51
02/11/2016 00:00,726.6,742,717.32,742,4320.53,3133467.19,725.25
03/11/2016 00:00,742,745.19,670.32,685.22,12102.24,8620853.88,712.34
04/11/2016 00:00,684.84,707.67,681,702.7,5345.68,3725359.65,696.89
05/11/2016 00:00,702.95,707.34,694.71,703.46,1918.31,1346262.96,701.8
06/11/2016 00:00,703.33,714.36,697.92,709.93,2292.86,1620784.56,706.88
07/11/2016 00:00,709.92,709.92,698.26,702.86,3020.87,2123754.48,703.03
08/11/2016 00:00,702.86,712.92,701.02,709.31,5526.47,3905868.36,706.76
09/11/2016 00:00,708.17,740.86,705.45,721.5,9726.25,7081641.53,728.1
10/11/2016 00:00,721.5,722,707,714.47,4996.45,3570538.74,714.61
11/11/2016 00:00,714.48,720.94,712.24,716.39,3328.33,2382869.96,715.94
12/11/2016 00:00,716.39,716.39,701,702.28,2811.55,1988237.32,707.17
13/11/2016 00:00,701.17,702.89,683.23,700.38,6023.55,4174451.24,693.02
14/11/2016 00:00,700.38,705.89,697.14,703.82,7566.58,5302237.19,700.74
15/11/2016 00:00,704.98,716.54,703.05,711.06,5668.94,4030616.4,711
16/11/2016 00:00,711.07,742.87,708.44,739.71,11585.05,8443845.52,728.86
17/11/2016 00:00,739.71,749.98,732.22,735.24,6681.43,4971520.49,744.08
18/11/2016 00:00,736,752.95,731.31,748.98,4271.04,3180459.44,744.66
19/11/2016 00:00,748.98,755.07,742.63,750.75,1965.44,1470296.81,748.08
20/11/2016 00:00,750.09,753.82,714,727.09,5525.96,4046316.48,732.24
21/11/2016 00:00,727.09,739.2,727.03,736.76,4017.58,2948982.13,734.02
22/11/2016 00:00,736.92,750,730.27,749.22,5034.7,3735123.75,741.88
23/11/2016 00:00,749.13,749.98,729.92,740.18,4462.78,3298351.61,739.08
24/11/2016 00:00,740.18,741.15,729,735.63,4039.82,2967466.39,734.55
25/11/2016 00:00,735.63,737.07,728,737.07,3356.09,2459029.2,732.71
26/11/2016 00:00,736.96,737.56,722.3,729.91,2314.58,1685262.3,728.11
27/11/2016 00:00,729.91,732,722.44,727.32,3447.87,2508288.05,727.49
28/11/2016 00:00,727.32,732.44,724.1,729.54,4741.12,3457223,729.2
29/11/2016 00:00,730.99,733.29,721,730.76,5406.9,3944721.68,729.57
30/11/2016 00:00,730.72,744.49,727,742.06,6249.62,4608044.88,737.33
